col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7
Munarg,XXXVI,X,CX,Denarius,II,IX,CCLXVII
Munarg,XL,IV,CLIX,Quinarius,VII,XXIX,XLIII
Muniv,XXXVIII,IX,XXI,Denarius,II,XVI,DXXXIX
Munarg,XXXV,V,CXXXIX,Denarius,VIII,XVII,CCCLXXVIII
Munarg,XXXVIII,XI,CLXX,Denarius,V,XXVII,CCXL
Murytub,XXXIX,I,XCVII,Aureus,IX,XXVIII,VI
Munarg,XXXVII,XI,CXLVII,Denarius,V,VIII,CCXXXVII
Munarg,XL,V,CXXXVIII,Quinarius,V,VII,LXXXVIII
Munarg,XL,VII,CLXVII,Denarius,VI,XXVII,CCXXIV
Munarg,XXXV,VII,CXCIV,Denarius,IV,VII,CCCXXII
Murytub,XXXVII,I,CCXI,Denarius,III,XIX,DCXXII
Atamora,XXXV,II,IX,Quinarius,V,XIX,MDCCC
Munarg,XXXV,VIII,CXLIII,Denarius,V,XIX,CCCLXXIX
Murytub,XXXVIII,VII,CXXXVII,Denarius,IV,XVII,DCXLV
Munarg,XXXVI,XII,CXXI,Denarius,VIII,XI,CCCV
Murytub,XXXVII,X,CXXXVI,Aureus,VII,VIII,VII
Munarg,XXXVIII,XII,CXXII,Denarius,VI,X,CDXXX
Munarg,XXXV,VII,CLXIX,Quinarius,IV,V,CXCVI
Munarg,XXXV,XI,CXXXIV,Denarius,VII,XII,CCCXXII
Munarg,XXXVIII,XII,CXXXV,Aureus,VII,XXII,IV
Munarg,XXXVII,IX,CXXII,Denarius,III,V,CDXIII
Murytub,XXXVII,XI,CIX,Denarius,VII,XIII,DCLXI
Murytub,XXXVII,I,CLVIII,Aureus,IX,XXX,VII
Atamora,XXXVII,II,XIII,Aureus,VI,XXIV,XXXII
Munarg,XXXV,I,CXCIII,Denarius,IV,X,CCCXXXIV
Munarg,XXXIX,III,CLXVII,Denarius,V,VI,CCLXXV
Atamora,XL,VI,X,Denarius,IV,XXVIII,MMCLXXXIX
Munarg,XL,VII,CI,Aureus,VI,IX,IV
Munarg,XXXVII,VI,CLIV,Quinarius,V,XXVIII,CXIV
Suilis,XXXVI,VI,XVI,Quinarius,VIII,XXI,MCDLXII
Murytub,XL,II,CCXXV,Denarius,VII,XXI,DXLI
Munarg,XXXVII,II,CXCVII,Quinarius,VI,I,CLI
Munarg,XXXIX,II,CXI,Denarius,VII,II,CDXLIX
Munarg,XXXV,XII,CXCIV,Denarius,IV,XXIII,CCXC
Munarg,XXXVI,VII,CLVI,Quinarius,III,XXIV,CXLVIII
Munarg,XXXVIII,VII,CLXXXVI,Quinarius,VIII,IV,CVI
Munarg,XXXVIII,XI,CXXVIII,Quinarius,VI,III,LXIV
Munarg,XXXVI,X,CXIX,Denarius,IV,XXIII,CCCLXIV
Murytub,XL,III,CXXVIII,Denarius,VI,XXVI,DXXXIV
Munarg,XXXVI,I,CXLI,Quinarius,VII,XX,CLVIII
Munarg,XXXIX,V,CXIX,Quinarius,VI,XXIII,LXXXVIII
Munarg,XXXVIII,III,CLXXVI,Aureus,VI,IX,IV
Murytub,XXXVI,XII,CL,Denarius,VI,I,DCLXVIII
Munarg,XXXVII,VII,CLXX,Quinarius,IV,II,CXII
Murytub,XXXV,VI,CXLII,Denarius,II,XXIII,DCLXXXV
Muniv,XXXVIII,XII,XVIII,Quinarius,VI,XI,CXXXII
Muniv,XXXV,VI,XXVII,Denarius,VI,X,DIII
Suilis,XXXVIII,VIII,XII,Quinarius,VI,XXVIII,MLI
Munarg,XXXV,XI,CLXXXVI,Denarius,V,XXVII,CCCXXXII
Muniv,XXXIX,XII,XXIV,Denarius,V,XXI,CDL
Munarg,XXXVII,XI,CXI,Quinarius,V,XXI,CXVII
Suilis,XXXVII,I,LII,Denarius,VI,I,MMMDLXXXVII
Murytub,XXXVIII,IX,CXXXVII,Denarius,III,X,DCXXII
Murytub,XL,X,CLXVII,Denarius,IV,XXI,DXLVI
Munarg,XXXV,IX,CLXXIX,Denarius,VII,XXIX,CCCXXXIII
Munarg,XXXVII,VIII,CLXXI,Quinarius,VII,V,CXV
Muniv,XL,III,XXIV,Denarius,IX,XVI,DLXII
Munarg,XXXV,II,CLXXI,Quinarius,VI,XI,CXCV
Munarg,XL,III,CXCVI,Quinarius,VI,XXX,XLVII
Murytub,XXXVIII,VIII,CVIII,Quinarius,III,XVI,CLXV
Murytub,XXXIX,XII,CXCVIII,Denarius,VI,XXIV,DLXVI
Murytub,XXXVIII,I,CXXXVIII,Aureus,VIII,XVI,V
Murytub,XXXV,III,CXXXIII,Quinarius,VII,IV,CCCXXXI
Muniv,XXXVIII,XII,XXXII,Denarius,VII,XII,DXLV
Murytub,XXXVI,XII,CXLII,Aureus,IV,XXIV,VI
Munarg,XXXVII,XII,CXXIX,Denarius,IX,XXVI,CCLVIII
Murytub,XXXVIII,X,CLVII,Denarius,VIII,II,DCXXVI
Murytub,XXXVIII,X,CLVI,Denarius,VI,V,DCVI
Murytub,XXXV,I,CLXXXV,Quinarius,III,III,CCCLXII
Munarg,XL,XI,CXXXII,Denarius,III,IV,CDLXIV
Murytub,XXXVIII,X,CXLVII,Denarius,IV,XXX,DLXVI
Suilis,XXXVII,IV,CII,Quinarius,V,XVIII,MDLI
Muniv,XXXIX,XII,XXVIII,Denarius,IV,XVIII,DXI
Murytub,XXXVII,V,CXXXII,Denarius,VI,VII,DCCCXCV
Munarg,XXXVI,I,CVII,Denarius,V,XXIX,CCCXXII
Muniv,XXXIX,IV,XX,Denarius,VII,XXI,DCXII
Munarg,XXXVI,IV,CXVII,Denarius,V,V,CCCXXV
Muniv,XXXV,IX,XLIII,Denarius,VI,VII,DLXXIV
Munarg,XXXV,IX,CLXXXII,Quinarius,IV,VI,CLXIX
Muniv,XXXIX,I,XXXVII,Aureus,VII,VI,V
Suilis,XXXVIII,V,XXIX,Denarius,VI,I,MMMDLXIX
Munarg,XXXVI,VI,CLIV,Denarius,VII,XXIX,CCCLXXVIII
Murytub,XXXIX,VII,XCIX,Denarius,VIII,XIX,DLXXXII
Murytub,XXXV,IV,CLV,Denarius,V,I,DCLXVI
Muniv,XXXIX,XII,XXI,Denarius,VI,XI,CDXLIX
Munarg,XL,II,CXV,Quinarius,IV,XI,XCII
Murytub,XXXIX,VII,CVII,Aureus,VII,II,VI
Munarg,XL,I,CXXXVII,Denarius,II,XVIII,CCV
Murytub,XXXVIII,II,CII,Denarius,V,VIII,DXCIII
Munarg,XXXVI,X,CLXIX,Quinarius,II,V,CLVIII
Murytub,XL,III,CLXIX,Denarius,VI,XXVI,DCX
Munarg,XXXVII,II,CXLIX,Denarius,VIII,XXIII,CCLXIII
Munarg,XXXVI,IV,CLXXXVIII,Quinarius,VIII,XIV,CLXXXII
Munarg,XXXVI,XI,CXVII,Quinarius,VII,XXVI,CLX
Murytub,XXXVIII,II,LXXV,Denarius,V,XXVII,DXCII
Murytub,XXXVI,VIII,CLXXX,Denarius,III,IV,DCLIV
Murytub,XXXV,I,CIII,Denarius,III,XXII,DCCXVIII
Murytub,XXXVIII,XI,XCVII,Quinarius,VI,XVII,CLVI
Muniv,XXXV,VI,XXXV,Denarius,VIII,IV,CDXLIII
Munarg,XXXIX,XII,CXCIV,Denarius,VI,XI,CCCLXXVIII
Munarg,XXXVII,XII,CXCVIII,Quinarius,IV,XXX,CXIX
Murytub,XXXV,VII,CXVII,Denarius,VI,XV,DCCVII
Munarg,XXXV,VI,CXLVI,Quinarius,III,I,CXCIV
Munarg,XXXVII,VI,CLXXVI,Denarius,V,XXX,CCXCIII
Munarg,XXXIX,IV,CXXIV,Quinarius,III,XV,LXXXIX
Munarg,XXXVII,IX,CIX,Denarius,V,XXVIII,CCLXVIII
Munarg,XXXVIII,VI,CXX,Aureus,VII,VIII,II
Munarg,XXXV,XII,CV,Denarius,VI,XXI,CCCXXXII
Munarg,XXXIX,IV,CLXXVI,Denarius,VIII,XXX,CDLXII
Munarg,XL,I,CXII,Denarius,IV,XXVII,CCXXX
Murytub,XXXIX,VII,CXLI,Denarius,VI,XIII,DCXI
Suilis,XXXVIII,III,XXI,Denarius,V,VII,MMMCCCLXII
Munarg,XXXVIII,V,CLX,Quinarius,VI,IX,CXXXI
Muniv,XXXVI,XI,XXXIII,Quinarius,V,II,CCXX
Munarg,XL,III,CL,Denarius,VII,XXVII,CDLXIX
Murytub,XXXV,VIII,CXLII,Denarius,VII,VIII,DCLI
Muniv,XXXIX,I,XXIV,Denarius,VIII,IV,DXXXI
Suilis,XXXVII,I,XI,Denarius,IX,X,MMMCDXLV
Murytub,XXXVII,XII,C,Denarius,VII,IX,DCXXX
Muniv,XXXV,III,XXX,Denarius,VII,XX,CDLXXXI
Munarg,XXXV,VI,CXXX,Denarius,VI,II,CCCLXXV
Murytub,XXXV,III,CLXXV,Quinarius,IV,XXV,CCCXV
Munarg,XXXV,I,CLXVI,Denarius,V,XXV,CCCXXXIX
Munarg,XXXVI,IV,CXII,Quinarius,III,XII,CLXXXII
Muniv,XXXV,VIII,XXX,Quinarius,IX,XVIII,CCLXV
Munarg,XXXVIII,XII,CIX,Denarius,IV,IV,CDXXVII
Murytub,XXXIX,VIII,CXLVIII,Denarius,V,I,DLIII
Murytub,XXXVIII,XI,CLXXXIII,Denarius,V,VIII,DLXXI
Suilis,XXXVI,VIII,XIII,Denarius,IX,X,MMMCDLXIX
Murytub,XXXVII,I,CLXXX,Denarius,V,VII,DCIII
Munarg,XXXVIII,III,CLXXII,Quinarius,VII,XXX,LXXX
Muniv,XXXVIII,IV,XXII,Quinarius,V,XXII,CLI
Murytub,XXXVII,V,CXI,Quinarius,VIII,XXV,CCCXXXV
Munarg,XXXVIII,VI,CXIII,Denarius,VI,X,CCCXLVIII
Atamora,XXXV,XII,VIII,Denarius,V,XII,MMDLII
Atamora,XXXVI,XI,XVI,Aureus,VI,XXVIII,XXV
Murytub,XL,IX,CXLIV,Denarius,IV,III,DLXXXI
Munarg,XXXVII,X,CLXXIV,Quinarius,VI,XXVII,XCII
Munarg,XXXVI,XII,CXXXI,Denarius,VIII,V,CCCXXXIII
Muniv,XL,IX,XXVIII,Denarius,V,X,CDXCII
Munarg,XXXIX,XI,CXXXI,Quinarius,X,VI,XLVIII
Murytub,XXXVIII,VII,CIX,Denarius,II,IX,DXCIII
Munarg,XXXIX,VIII,CXXII,Denarius,VI,XXX,CDXVI
Murytub,XXXVI,VII,CXVIII,Denarius,VII,XXVI,DCXL
Murytub,XXXIX,III,XXXIV,Denarius,VIII,XXV,DCXIV
Murytub,XXXIX,V,CXCI,Denarius,VII,XIX,DCIX
Munarg,XXXVIII,VI,CLXXII,Denarius,IX,XXVI,CCCLXXVI
Munarg,XXXVII,XI,CLXXXII,Denarius,V,IV,CCLIV
Murytub,XXXVIII,V,CLXXVII,Denarius,IV,IV,DCXVIII
Murytub,XXXVIII,VII,CLXV,Denarius,VII,XVI,DCXIII
Munarg,XXXVIII,V,CLVII,Denarius,IV,IV,CCCLXXVI
Munarg,XXXV,III,CXIV,Denarius,IV,VIII,CCCXXV
Muniv,XXXVII,XII,XXXIV,Quinarius,VI,XXIII,CLV
Muniv,XL,X,XXXII,Denarius,IV,XIX,DXLIX
Atamora,XXXVII,XI,VIII,Denarius,V,VIII,MMDCCLXI
Munarg,XL,XII,CLXXXVII,Quinarius,VI,II,LXXXIII
Murytub,XXXV,IV,CLXXIV,Quinarius,VI,XXIX,CCCXXXIII
Munarg,XXXIX,X,CLXX,Denarius,VI,XXX,CDX
Munarg,XL,I,CXXXVIII,Denarius,VI,XXIII,CCCLVI
Muniv,XL,II,XXII,Denarius,II,XVII,DCXXIII
Munarg,XXXVII,XI,CXLI,Quinarius,V,VII,CXLIX
Suilis,XXXIX,III,XXXIX,Denarius,V,VII,MMMDLXXXVII
Munarg,XXXIX,IV,CII,Denarius,VI,XVIII,CCCXC
Murytub,XL,V,CLVIII,Denarius,VI,VI,DLXXII
Suilis,XL,III,XXIII,Denarius,IV,XX,MMMDCCXXIII
Munarg,XXXIX,V,CLXXX,Denarius,IV,XVI,CCXLV
Munarg,XXXVI,XII,CLXXXIX,Aureus,VII,XIV,III
Murytub,XXXVI,XII,CXXV,Quinarius,VIII,XV,CCLX
Munarg,XXXVIII,VIII,CLIX,Quinarius,IV,XXV,LXXVI
Munarg,XXXVII,II,CLI,Denarius,IV,XX,CCLIV
Muniv,XXXVI,II,XXV,Denarius,IV,XXVII,CDLXIII
Murytub,XL,XII,CXLV,Denarius,VII,IV,DLXI
Murytub,XL,I,CXXVIII,Quinarius,VII,I,CXXXIII
Munarg,XXXVI,III,CXXI,Denarius,IV,XVI,CCCLIX
Muniv,XL,III,XXII,Denarius,VI,XII,CDLXXVII
Munarg,XXXVIII,I,CXVII,Denarius,VI,XV,CDXXXIII
Murytub,XL,V,CXLIII,Denarius,VII,XVIII,DLXXVII
Murytub,XXXVIII,VIII,CXXXII,Denarius,VII,XVIII,DCXVI
Murytub,XXXIX,I,CXLII,Denarius,VI,XIX,DLIV
Suilis,XXXVII,VIII,XLIV,Denarius,IV,XVIII,MMMDCCCXXIX
Munarg,XL,VI,CLIV,Denarius,IV,XIV,CCXII
Murytub,XL,II,CLXXVIII,Denarius,VII,V,DLXXI
Munarg,XL,VI,CLXXXIV,Denarius,V,XXIII,CLXXXV
Muniv,XXXVIII,X,XXVI,Quinarius,III,XXV,CXXIV
Muniv,XXXVIII,V,XVIII,Denarius,VI,XII,CDLXXXII
Murytub,XL,V,XCI,Aureus,IV,XXII,IV
Munarg,XXXIX,VII,CLXXX,Aureus,IV,VIII,II
Muniv,XXXVI,VI,XXV,Denarius,V,II,CDXLVII
Muniv,XXXIX,I,XXVII,Denarius,VIII,XXIX,CDLXIV
Munarg,XL,XI,CLXXVII,Denarius,IV,XXIX,CDXXXII
Muniv,XXXIX,II,XXVI,Denarius,VII,VI,DVIII
Murytub,XXXVI,XI,CXXIX,Denarius,VII,XVIII,DCXCII
Munarg,XXXVIII,V,CXLVI,Denarius,VI,XXVI,CCXCVII
Munarg,XXXVII,I,CXCVIII,Denarius,VIII,VIII,CCLXXV
Suilis,XXXVII,III,XXIII,Denarius,IV,XXIX,MMMDI
Murytub,XXXVI,XI,CLXX,Quinarius,II,III,CCXLIX
Munarg,XXXV,II,C,Denarius,VII,VI,CCCXCV
Suilis,XXXV,VIII,XXV,Denarius,IX,XVIII,MMMCCXXXIV
Munarg,XXXVII,IV,CXCII,Quinarius,VI,XXIII,CXLVIII
Muniv,XXXVII,III,XXXVII,Denarius,VI,I,DLXXVII
Muniv,XXXIX,IX,XIX,Aureus,VII,XXVI,IV
Murytub,XXXVII,XII,CL,Quinarius,VI,XXI,CCXXV
Munarg,XXXV,III,CXL,Denarius,VI,XIV,CCCLXXI
Munarg,XXXVII,VI,CLVIII,Denarius,VII,VII,CDXX
Munarg,XL,X,CXXX,Denarius,VI,XIV,CCCLXXXVIII
Munarg,XXXV,VII,CLXXV,Aureus,VI,XXVI,V
Murytub,XXXVII,III,CXXIII,Quinarius,IX,VI,CCLXXXVII
Muniv,XXXV,IX,XXIV,Quinarius,VI,XX,CCXCV
Munarg,XXXVIII,III,CXCI,Quinarius,VII,IV,LXXIII
Murytub,XL,III,CXLI,Quinarius,IV,XX,CXXII
Murytub,XXXVII,III,CXLIX,Quinarius,VI,III,CCLXXV
Murytub,XL,V,CXXXIII,Quinarius,VI,XIV,CXXXIII
Munarg,XXXIX,IX,CLXXXV,Quinarius,VI,IX,XLVIII
Murytub,XXXV,IX,CXCVI,Quinarius,VII,III,CCCXLVIII
Muniv,XXXV,I,XXI,Denarius,IV,XXXI,DLXV
Munarg,XXXIX,V,CXXII,Quinarius,VI,XVIII,XLV
Muniv,XXXVIII,V,XXX,Denarius,VI,I,DII
Murytub,XXXVIII,IX,CLXIII,Denarius,IX,XXIV,DCXXVII
Murytub,XL,II,CXVI,Denarius,VIII,II,DLXVII
Atamora,XL,III,IX,Denarius,VI,XI,MMMXI
Muniv,XXXVI,VIII,XXVI,Denarius,VII,III,CDXXI
Muniv,XL,V,XXVII,Denarius,IX,III,CDLVII
Munarg,XXXIX,XII,CXXX,Quinarius,VI,VII,LV
Muniv,XXXV,VIII,XXVII,Aureus,VI,XIII,VII
Munarg,XXXIX,II,CLXXVIII,Denarius,VI,XXIII,CDXXXIX
Murytub,XXXV,V,CLXI,Denarius,IX,IX,DCLXXXVI
Munarg,XXXV,VI,CLXXVIII,Quinarius,VIII,VII,CLXXXII
Murytub,XXXIX,VIII,CLVIII,Denarius,V,VIII,DXLV
Murytub,XXXVI,IX,CVI,Quinarius,VI,XXIV,CCLVI
Munarg,XXXVI,IV,CXXV,Denarius,III,XII,CCCLVI
Murytub,XXXVIII,II,CLXIII,Denarius,VII,XVIII,DXCIV
Munarg,XXXVI,I,CXXXI,Denarius,IV,XXX,CCCXVI
Muniv,XXXVIII,V,XXIX,Aureus,V,XVI,IV
Munarg,XXXV,IV,CLXXXII,Denarius,IV,XII,CCXCIX
Murytub,XL,I,CLXX,Denarius,V,IV,DLXXXI
Murytub,XXXVIII,X,CXX,Denarius,VII,XII,DL
Munarg,XXXVIII,II,CLIV,Denarius,V,VI,CCLXI
Munarg,XXXIX,VI,CLXXXIV,Quinarius,IV,II,LXI
Murytub,XXXV,IV,CXLV,Quinarius,V,XX,CCCXL
Muniv,XXXVII,III,XXXIV,Denarius,III,XXXI,DLXXIX
Munarg,XXXVII,VIII,CIV,Quinarius,IV,XIX,CLXVIII
Munarg,XXXVIII,X,CXV,Quinarius,VI,XXIX,CXVI
Munarg,XXXV,V,CLVII,Quinarius,IV,XVI,CLXVIII
Atamora,XL,XI,XII,Quinarius,III,III,CCCXCII
Munarg,XXXIX,XII,CLXVI,Denarius,VI,XXIV,CDLX
Atamora,XXXVII,X,IX,Quinarius,VII,VIII,MLXXII
Munarg,XL,I,CXC,Denarius,IV,XX,CCCXCVI
Murytub,XXXVI,XI,CLXXXIX,Denarius,VII,I,DCLIII
Munarg,XXXV,II,CXXXVI,Denarius,X,XVII,CCCIV
Munarg,XXXVI,III,CXCI,Denarius,VI,X,CCCXXV
Muniv,XXXVIII,I,XXIV,Denarius,VII,XVII,CDXXXVII
Murytub,XXXVII,XI,CXLIV,Denarius,V,VII,DCL
Munarg,XXXV,V,CLX,Quinarius,IX,XXX,CXCIII
Muniv,XL,V,XVIII,Denarius,VI,VI,DLXXXII
Munarg,XXXVI,VII,CLVIII,Denarius,III,XIX,CCCXXXVI
Atamora,XL,III,VII,Denarius,VI,XXVI,MMDCCCXXIV
Muniv,XXXVIII,IV,XXVIII,Quinarius,IV,XXVII,CLXVII
Munarg,XXXV,XI,C,Denarius,VII,XII,CCCXLVIII
Munarg,XXXV,VII,CLVIII,Quinarius,II,IX,CLXXXIV
Murytub,XXXV,X,CXLI,Denarius,VI,IV,DCLXI
Murytub,XXXVII,XII,CLXIII,Denarius,VI,XXV,DCX
Munarg,XXXV,VIII,CLXXIX,Aureus,VI,XIII,V
Murytub,XXXVII,III,CXXVII,Denarius,X,IV,DCCXXVII
Muniv,XXXIX,IV,XXXVIII,Denarius,VIII,XXX,CDLXXII
Suilis,XXXVI,III,XVI,Denarius,VI,VIII,MMMCDLXX
Munarg,XXXVII,VI,CXXIX,Denarius,IV,IV,CCCXCVII
Munarg,XXXV,XII,CXCIX,Denarius,IV,XV,CCCXXVII
Muniv,XXXVII,XII,XXV,Quinarius,V,XIX,CLXXII
Muniv,XXXVIII,VIII,XXIII,Denarius,VI,XXII,DXX
Munarg,XXXVI,X,CXVI,Denarius,VI,VI,CCLXVIII
Murytub,XXXVI,V,CXXIX,Denarius,VII,VII,DCCVI
Murytub,XXXIX,XI,CLIV,Quinarius,VI,XXVII,CXL
Munarg,XXXVIII,VII,CLXVII,Denarius,VI,VI,CCLIII
Munarg,XXXV,XII,CXLVII,Denarius,VI,V,CCCLXXI
Murytub,XXXVIII,VIII,CXXVII,Denarius,V,XXIII,DCXXVI
Murytub,XL,XII,XC,Quinarius,III,XVII,CVII
Munarg,XXXVII,VII,CLXXXI,Quinarius,VIII,VI,CLII
Muniv,XXXV,IX,XXVII,Denarius,VI,XXVI,CDXLI
Munarg,XXXIX,III,CXVI,Denarius,IV,XXIV,CDXIII
Munarg,XL,XI,CLXXX,Denarius,VI,XVIII,CDVIII
Atamora,XXXIX,I,IX,Quinarius,VIII,XXII,DCXVII
Muniv,XXXV,V,XIX,Denarius,IX,XXIII,CDLXXXIV
Muniv,XXXV,X,XVIII,Denarius,V,XIII,DLXX
Munarg,XXXVI,VII,CXXVII,Quinarius,IV,V,CXLVI
Murytub,XXXVIII,I,CLXV,Denarius,VI,IX,DLXXVIII
Murytub,XXXIX,IV,CLIV,Denarius,VIII,XIII,DCV
Muniv,XXXV,XII,XXX,Denarius,VI,XXX,DLXIV
Suilis,XXXVIII,I,XXIV,Denarius,VII,XX,MMMDCLXXX
Murytub,XXXIX,X,CLXVIII,Denarius,VII,XXI,DLXXIII
Muniv,XXXVIII,XII,XXIV,Quinarius,V,I,CXLI
Munarg,XXXIX,II,CLXI,Denarius,V,XXV,CCCLXXXI
Muniv,XXXV,IX,XXIII,Quinarius,IX,XXIII,CCXIII
Munarg,XL,XII,CLXX,Aureus,VI,XXV,II
Munarg,XXXVIII,IV,CXXIX,Denarius,IV,XXI,CCXXVII
Murytub,XXXVI,III,CXXXIII,Denarius,V,III,DCLXXII
Munarg,XXXVII,V,CXXIX,Quinarius,VI,XVIII,CXXXVI
Murytub,XXXV,V,CLXXX,Denarius,VI,XIII,DCXCI
Murytub,XXXVII,V,CXLII,Denarius,VIII,XXII,CMXCVI
Munarg,XXXIX,VIII,CLXIV,Denarius,VIII,XIII,CCCLIV
Muniv,XXXVIII,X,XIX,Quinarius,VI,XXIX,CXXXIX
Murytub,XXXVII,VII,CLXIV,Denarius,VII,VIII,CMXXXV
Murytub,XXXV,VIII,CLXXII,Denarius,IX,II,DCCXXV
Muniv,XL,V,XVII,Denarius,VII,XXIII,DCLVI
Murytub,XXXVII,X,CXXVIII,Quinarius,VI,XXVII,CCXL
Murytub,XL,II,CLXXV,Denarius,VII,XVIII,DLXXVII
Atamora,XXXVI,I,XII,Denarius,IV,XIV,MMMCCCLXXVI
Munarg,XXXIX,X,CIII,Denarius,VII,VII,CCXXXVIII
Munarg,XXXV,VIII,CXIX,Quinarius,V,I,CXC
Murytub,XXXVI,X,CX,Denarius,IX,XXVII,DXCVI
Suilis,XXXVIII,VII,XI,Denarius,VIII,XXVII,MMMCDLV
Munarg,XL,VIII,CXLVI,Denarius,VI,II,CLXXXVII
Munarg,XXXVI,X,CXXXVI,Denarius,VI,VI,CCCL
Munarg,XXXV,XII,CLXV,Quinarius,IV,XXII,CXXXI
Munarg,XXXIX,VI,CXIII,Aureus,VI,XV,IV
Murytub,XXXV,III,CCIX,Denarius,VI,VII,DCIV
Munarg,XXXVIII,IV,CXXXIV,Denarius,VI,VII,CCLXXXVI
Murytub,XL,VII,CXXIII,Quinarius,III,XV,CXXXII
Munarg,XXXV,II,CLXXXVII,Denarius,VII,XXIV,CCCXCVIII
Muniv,XXXVII,XI,XIX,Quinarius,VI,XIV,CLXXIV
Murytub,XL,X,CXXIX,Denarius,VIII,V,DXXXIV
Murytub,XXXVIII,III,CXLVIII,Quinarius,VII,XXVIII,CLXXXIII
Munarg,XXXVII,V,CXCVII,Denarius,VI,XIII,CCCXCI
Atamora,XXXVIII,IX,XI,Denarius,V,VII,MMDCCCXIV
Suilis,XXXIX,XI,XXI,Quinarius,V,XXIII,DCCCXLVII
Murytub,XXXVIII,VIII,CXXI,Denarius,V,III,DXCII
Muniv,XXXVII,XII,XXIX,Quinarius,VI,XXVII,CLXXIII
Muniv,XXXVI,II,XXV,Denarius,V,X,DXXIX
Suilis,XXXIX,XI,XIX,Denarius,VIII,VIII,MMMMX
Munarg,XXXV,VI,CLXI,Denarius,VI,IX,CCCLXVII
Munarg,XL,XII,CXCVIII,Denarius,V,XXVI,CDLII
Muniv,XXXVII,II,XV,Denarius,V,XXVIII,DXIV
Muniv,XXXIX,VIII,XLIV,Denarius,VI,XXX,CDLXXV
Munarg,XXXVI,VI,CLVI,Denarius,VI,XXII,CCLXXI
Muniv,XXXVIII,VII,XXII,Denarius,VI,XV,DLXIV
Murytub,XXXV,IX,CLXVI,Denarius,VI,XII,DCLXXIX
Murytub,XXXV,VI,CXXXIX,Denarius,VI,XIX,DCLXXII
Murytub,XL,I,CLXXIV,Denarius,IV,XXVII,DL
Munarg,XXXVII,XI,CXII,Denarius,VI,XXVI,CCXC
Murytub,XXXV,I,CXLII,Quinarius,IV,XVII,CCCLXXVIII
Murytub,XXXVIII,XII,CCXXIII,Denarius,V,XXVII,DCXX
Muniv,XXXIX,VII,XXXIII,Quinarius,IV,XXI,CXIV
Munarg,XXXVIII,X,CLXVII,Denarius,IV,XXX,CCCXCV
Muniv,XL,VIII,XXIX,Quinarius,V,XXI,CXVI
Suilis,XXXVI,V,X,Denarius,VI,XIII,MMMCDLIII
Munarg,XL,XII,CXXIII,Denarius,VI,VII,CXCII
Murytub,XXXVIII,II,CLXXX,Denarius,V,XII,DLXXXII
Munarg,XXXIX,VI,CLXV,Denarius,IV,V,CCCLXI
Munarg,XXXV,VI,CI,Denarius,VI,IX,CCCLXVII
Munarg,XXXV,III,CXLIX,Quinarius,VII,XXXI,CLXVIII
Munarg,XXXV,VII,CXXXIX,Aureus,II,XXI,V
Munarg,XXXVII,IX,CXXII,Denarius,V,XIII,CDXVIII
Munarg,XXXVI,V,CLXXI,Denarius,V,XVIII,CCCLIV
Suilis,XL,VIII,XIII,Denarius,VII,I,MMMDCXLI
Murytub,XXXVIII,IV,CXXXI,Denarius,V,XXX,DCXXVII
Suilis,XXXIX,X,XXII,Quinarius,V,XXVI,DCCXCVI
Munarg,XXXVIII,VIII,CV,Quinarius,VI,XXXI,CIV
Muniv,XXXVII,VII,XVII,Aureus,VI,XXVI,V
Munarg,XXXV,I,CXXXVIII,Denarius,VI,XXIII,CCCXXV
Muniv,XXXVII,X,XXV,Denarius,VI,XXII,CDLV
Murytub,XXXVI,X,XCIV,Denarius,VIII,XIV,DCXLII
Atamora,XXXV,IV,IX,Quinarius,VII,VII,MDCLXXIV
Atamora,XXXVI,VII,XIII,Denarius,VI,XV,MMMDCCVII
Munarg,XXXIX,X,CXIV,Denarius,VI,XX,CCXLVI
Murytub,XXXVI,XI,LXXXII,Quinarius,VIII,XXIX,CCLVIII
Munarg,XXXVII,II,CXXXI,Denarius,VII,VIII,CCCLXXIII
Murytub,XL,IX,CLXV,Denarius,V,II,DLI
Murytub,XXXIX,X,CXLV,Denarius,VII,VII,DLXXXIV
Munarg,XXXV,V,CLIV,Denarius,VII,XV,CCCXXV
Murytub,XXXV,IX,CL,Quinarius,VII,III,CCCXLV
Munarg,XXXVII,XII,CXXIII,Quinarius,VII,I,CXX
Muniv,XL,XII,XXVIII,Quinarius,VI,VI,CIV
Suilis,XXXIX,I,XI,Quinarius,IV,I,DCCCXXX
Munarg,XXXV,V,CLXXIV,Denarius,V,I,CCCLXIV
Murytub,XXXVI,VIII,CLVII,Quinarius,IV,IX,CCLXIX
Muniv,XXXV,VI,XXVI,Denarius,IV,XXI,DV
Suilis,XXXV,I,X,Quinarius,IV,XXXI,MDCCCXLIV
Murytub,XL,XI,CXLI,Denarius,VI,XI,DXXVIII
Munarg,XXXV,XI,CLXXI,Denarius,V,IV,CCLXXXV
Muniv,XXXVI,XII,XXIV,Quinarius,VIII,V,CCXIII
Munarg,XXXIX,XII,CLXV,Quinarius,VI,X,CX
Munarg,XXXIX,III,CLXX,Denarius,VIII,XX,CDLVIII
Suilis,XXXV,X,CI,Denarius,VI,XXII,MMMDXVI
